Collision,4,0,0,301,"""44444444444444444444"""
Collision,1,0,0,301,"""11111111111111111111"""
Collision,0,0,0,302,"""00000000000000000000"""
Collision,5,0,0,402,"""55555555555555555555"""
Collision,1,0,1,1290,"""11111111111111111111"""
Collision,4,0,1,1290,"""44444444444444444444"""
Collision,4,0,2,1626,"""44444444444444444444"""
Collision,1,0,2,1626,"""11111111111111111111"""
Collision,0,0,1,1903,"""00000000000000000000"""
Collision,5,0,1,1902,"""55555555555555555555"""
Collision,5,0,2,2506,"""55555555555555555555"""
Collision,0,0,2,2507,"""00000000000000000000"""
Collision,1,0,3,2707,"""11111111111111111111"""
Collision,5,0,3,2955,"""55555555555555555555"""
Collision,0,0,3,2956,"""00000000000000000000"""
Collision,4,0,3,3069,"""44444444444444444444"""
Collision,4,0,4,3636,"""44444444444444444444"""
Collision,1,0,4,3837,"""11111111111111111111"""
Collision,5,0,4,4031,"""55555555555555555555"""
Collision,0,0,4,4132,"""00000000000000000000"""
Collision,1,0,5,4506,"""11111111111111111111"""
Collision,4,0,5,4506,"""44444444444444444444"""
Collision,4,0,6,4863,"""44444444444444444444"""
Collision,5,0,5,5060,"""55555555555555555555"""
Collision,0,0,5,5065,"""00000000000000000000"""
Collision,5,0,6,5560,"""55555555555555555555"""
Collision,1,0,6,5560,"""11111111111111111111"""
Collision,0,0,6,6152,"""00000000000000000000"""
Collision,4,0,7,6299,"""44444444444444444444"""
Collision,5,0,7,6898,"""55555555555555555555"""
Collision,1,0,7,6898,"""11111111111111111111"""
Collision,0,0,7,7170,"""00000000000000000000"""
Collision,5,0,8,7310,"""55555555555555555555"""
Success,4,0,8,7601,"""44444444444444444444"""
Success,5,0,9,7874,"""55555555555555555555"""
Collision,0,0,8,8200,"""00000000000000000000"""
Collision,1,0,8,8299,"""11111111111111111111"""
Collision,4,1,0,302,"""44444444444444444444"""
Collision,5,1,0,320,"""55555555555555555555"""
Collision,1,0,9,9194,"""11111111111111111111"""
Collision,4,1,1,704,"""44444444444444444444"""
Collision,0,0,9,9396,"""00000000000000000000"""
Collision,1,0,10,9517,"""11111111111111111111"""
Collision,4,1,2,1226,"""44444444444444444444"""
Collision,0,0,10,10028,"""00000000000000000000"""
Collision,1,0,11,10534,"""11111111111111111111"""
Collision,5,1,1,1660,"""55555555555555555555"""
Collision,4,1,3,2098,"""44444444444444444444"""
Collision,0,0,11,10901,"""00000000000000000000"""
Success,1,0,12,11255,"""11111111111111111111"""
Collision,4,1,4,3108,"""44444444444444444444"""
Collision,5,1,2,2936,"""55555555555555555555"""
Collision,0,0,12,12013,"""00000000000000000000"""
Collision,1,1,0,301,"""11111111111111111111"""
Collision,0,0,13,12709,"""00000000000000000000"""
Collision,5,1,3,4258,"""55555555555555555555"""
Collision,1,1,1,877,"""11111111111111111111"""
Collision,4,1,5,4632,"""44444444444444444444"""
Collision,0,0,14,13748,"""00000000000000000000"""
Collision,4,1,6,5402,"""44444444444444444444"""
Collision,1,1,2,2034,"""11111111111111111111"""
Collision,5,1,4,5415,"""55555555555555555555"""
Collision,0,0,15,14491,"""00000000000000000000"""
Collision,5,1,5,6145,"""55555555555555555555"""
Collision,1,1,3,3004,"""11111111111111111111"""
Collision,0,0,16,15369,"""00000000000000000000"""
Collision,4,1,7,6853,"""44444444444444444444"""
Collision,5,1,6,6744,"""55555555555555555555"""
Collision,1,1,4,4235,"""11111111111111111111"""
