Collision,0,0,0,201,"""00000000000000000000"""
Collision,1,0,0,201,"""11111111111111111111"""
Collision,5,0,0,205,"""55555555555555555555"""
Collision,4,0,0,204,"""44444444444444444444"""
Success,1,0,1,709,"""11111111111111111111"""
Collision,0,0,1,1011,"""00000000000000000000"""
Collision,5,0,1,1009,"""55555555555555555555"""
Success,0,0,2,1460,"""00000000000000000000"""
Success,4,0,1,1758,"""44444444444444444444"""
Success,1,1,0,353,"""11111111111111111111"""
Success,5,0,2,2399,"""55555555555555555555"""
Success,0,1,0,304,"""00000000000000000000"""
Success,4,1,0,302,"""44444444444444444444"""
Success,1,2,0,303,"""11111111111111111111"""
Success,5,1,0,302,"""55555555555555555555"""
Success,0,2,0,302,"""00000000000000000000"""
Success,1,3,0,302,"""11111111111111111111"""
Success,5,2,0,302,"""55555555555555555555"""
Collision,0,3,0,301,"""00000000000000000000"""
Collision,4,2,0,302,"""44444444444444444444"""
Collision,4,2,1,905,"""44444444444444444444"""
Collision,1,4,0,303,"""11111111111111111111"""
Collision,5,3,0,303,"""55555555555555555555"""
Collision,0,3,1,1243,"""00000000000000000000"""
Collision,1,4,1,1152,"""11111111111111111111"""
Collision,4,2,2,1754,"""44444444444444444444"""
Collision,0,3,2,1753,"""00000000000000000000"""
Collision,1,4,2,1354,"""11111111111111111111"""
Collision,5,3,1,1015,"""55555555555555555555"""
Success,0,3,3,2335,"""00000000000000000000"""
Collision,1,4,3,2196,"""11111111111111111111"""
Collision,4,2,3,2798,"""44444444444444444444"""
Success,5,3,2,2363,"""55555555555555555555"""
Success,0,4,0,303,"""00000000000000000000"""
Collision,1,4,4,3318,"""11111111111111111111"""
Collision,4,2,4,3920,"""44444444444444444444"""
Success,5,4,0,302,"""55555555555555555555"""
Collision,1,4,5,4219,"""11111111111111111111"""
Collision,0,5,0,180,"""00000000000000000000"""
Collision,4,2,5,4922,"""44444444444444444444"""
Success,4,2,6,5616,"""44444444444444444444"""
Success,5,5,0,302,"""55555555555555555555"""
Collision,0,5,1,1472,"""00000000000000000000"""
Collision,1,4,6,5511,"""11111111111111111111"""
Success,0,5,2,1992,"""00000000000000000000"""
Success,4,3,0,320,"""44444444444444444444"""
Collision,1,4,7,6634,"""11111111111111111111"""
Collision,5,6,0,325,"""55555555555555555555"""
Collision,0,6,0,302,"""00000000000000000000"""
Collision,5,6,1,1024,"""55555555555555555555"""
Success,4,4,0,344,"""44444444444444444444"""
Success,1,4,8,8121,"""11111111111111111111"""
Success,0,6,1,1549,"""00000000000000000000"""
Collision,4,5,0,104,"""44444444444444444444"""
Collision,5,6,2,2473,"""55555555555555555555"""
Success,5,6,3,3115,"""55555555555555555555"""
Collision,0,7,0,303,"""00000000000000000000"""
Collision,4,5,1,1205,"""44444444444444444444"""
Collision,1,5,0,112,"""11111111111111111111"""
Collision,0,7,1,653,"""00000000000000000000"""
Collision,5,7,0,300,"""55555555555555555555"""
Collision,4,5,2,2046,"""44444444444444444444"""
Collision,1,5,1,704,"""11111111111111111111"""
Collision,4,5,3,2360,"""44444444444444444444"""
Collision,5,7,1,614,"""55555555555555555555"""
Collision,1,5,2,1018,"""11111111111111111111"""
Success,4,5,4,2739,"""44444444444444444444"""
Collision,0,7,2,1861,"""00000000000000000000"""
Collision,1,5,3,1321,"""11111111111111111111"""
Success,5,7,2,1818,"""55555555555555555555"""
Collision,0,7,3,2863,"""00000000000000000000"""
Collision,1,5,4,2322,"""11111111111111111111"""
Collision,4,6,0,126,"""44444444444444444444"""
Collision,1,5,5,3424,"""11111111111111111111"""
Collision,5,8,0,303,"""55555555555555555555"""
Collision,0,7,4,4196,"""00000000000000000000"""
Collision,4,6,1,1358,"""44444444444444444444"""
Collision,4,6,2,1559,"""44444444444444444444"""
Collision,1,5,6,4284,"""11111111111111111111"""
Collision,4,6,3,1987,"""44444444444444444444"""
Collision,0,7,5,5197,"""00000000000000000000"""
Collision,5,8,1,1535,"""55555555555555555555"""
Success,1,5,7,4959,"""11111111111111111111"""
Collision,0,7,6,5701,"""00000000000000000000"""
Collision,5,8,2,2039,"""55555555555555555555"""
Success,4,6,4,3256,"""44444444444444444444"""
Success,5,8,3,2848,"""55555555555555555555"""
Collision,1,6,0,210,"""11111111111111111111"""
Collision,0,7,7,6710,"""00000000000000000000"""
Success,0,7,8,6972,"""00000000000000000000"""
Success,4,7,0,304,"""44444444444444444444"""
Collision,5,9,0,303,"""55555555555555555555"""
Collision,1,6,1,1314,"""11111111111111111111"""
Collision,1,6,2,1654,"""11111111111111111111"""
Collision,0,8,0,180,"""00000000000000000000"""
Collision,5,9,1,744,"""55555555555555555555"""
Success,4,8,0,301,"""44444444444444444444"""
Collision,1,6,3,2873,"""11111111111111111111"""
Collision,5,9,2,1862,"""55555555555555555555"""
Collision,0,8,1,1528,"""00000000000000000000"""
Collision,4,9,0,295,"""44444444444444444444"""
Collision,0,8,2,2022,"""00000000000000000000"""
Collision,5,9,3,2951,"""55555555555555555555"""
Collision,4,9,1,761,"""44444444444444444444"""
Collision,0,8,3,2506,"""00000000000000000000"""
Collision,1,6,4,4063,"""11111111111111111111"""
Success,5,9,4,3737,"""55555555555555555555"""
Collision,1,6,5,5302,"""11111111111111111111"""
Collision,4,9,2,2101,"""44444444444444444444"""
Collision,0,8,4,3828,"""00000000000000000000"""
Success,1,6,6,5777,"""11111111111111111111"""
Collision,4,9,3,2676,"""44444444444444444444"""
Collision,0,8,5,4409,"""00000000000000000000"""
Success,0,8,6,4710,"""00000000000000000000"""
Success,4,9,4,3485,"""44444444444444444444"""
Collision,1,7,0,302,"""11111111111111111111"""
Collision,5,10,0,329,"""55555555555555555555"""
Collision,0,9,0,115,"""00000000000000000000"""
Collision,1,7,1,522,"""11111111111111111111"""
Success,0,9,1,317,"""00000000000000000000"""
Collision,4,10,0,311,"""44444444444444444444"""
Collision,1,7,2,1220,"""11111111111111111111"""
